Referee,Apps,Fouls pg,Fouls/Tackles,Pen pg,Yel pg,Yel,Red pg,Red,Country
Daniele Chiffi,17,20.29,0.66,0.29,3.71,63,0.18,3,ITA
Gianluca Manganiello,17,25.59,0.8,0.24,3.24,55,0.18,3,ITA
Livio Marinelli,17,24.18,0.83,0.29,2.88,49,0.18,3,ITA
Simone Sozza,17,24,0.8,0.59,3.53,60,0.06,1,ITA
Marco Piccinini,16,24,0.82,0.19,3.81,61,0.06,1,ITA
Andrea Colombo,16,25.19,0.77,0.13,4.13,66,0.13,2,ITA
Marco Di Bello,15,26.2,0.88,0.27,2.6,39,0.13,2,ITA
Luca Zufferli,15,22.8,0.72,0.2,2.73,41,0.2,3,ITA
Luca Pairetto,14,26.57,0.84,0.29,4.14,58,0.5,7,ITA
Federico La Penna,14,27.71,0.98,0.43,4.36,61,0.07,1,ITA
Antonio Rapuano,14,27.93,0.94,0.14,4.5,63,0.43,6,ITA
Rosario Abisso,12,24.42,0.86,0.5,3.83,46,0.17,2,ITA
Matteo Marchetti,12,26.83,0.85,0.08,4,48,0.25,3,ITA
Juan Luca Sacchi,11,24.27,0.82,0.09,3.36,37,0.18,2,ITA
Francesco Fourneau,11,27.55,1.02,0.27,4.18,46,0.09,1,ITA
Giovanni Ayroldi,11,26.91,0.81,0.36,5.73,63,0.55,6,ITA
Ermanno Feliciani,10,22.9,0.78,0.4,2.5,25,0,0,ITA
